Dato,Land,Destination,Dal (cm),Top (cm)
2026-04-25,italien,Livigno,46,118
2026-04-25,oestrig,Wagrain,50,100
2026-04-25,frankrig,Avoriaz,30,340
2026-04-25,norge,Hemsedal,46,80
2026-04-25,norge,Trysil,40,40
2026-04-25,sverige,Sälen,43,98
