Dato,Land,Destination,Dal (cm),Top (cm)
2026-02-19,italien,Livigno,59,84
2026-02-19,oestrig,Wagrain,60,140
2026-02-19,frankrig,Avoriaz,88,282
2026-02-19,norge,Hemsedal,65,65
2026-02-19,norge,Trysil,40,40
2026-02-19,sverige,Sälen,51,101
